LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
120.10, 23.20,   7.6500,   8.6554,   8.7071,   8.8446,   9.5071,   8.5224,   8.8586,   8.8638,   8.7828,   8.7000,   9.0111,   8.8241,   9.2407,   8.5224,   8.5466,   9.2000,   9.6879,   8.5895,   8.7232,   8.6247,   8.9293,   8.6098,   8.9992,   8.6113,   9.5984,
120.10, 23.25,   7.2500,   8.6089,   8.6089,   8.7643,   9.4232,   8.4690,   8.7121,   8.7431,   8.7121,   8.6611,   8.9148,   8.6815,   9.2352,   8.4690,   8.4879,   9.0862,   9.6069,   8.5395,   8.6373,   8.5798,   8.8318,   8.5659,   8.9227,   8.5806,   9.5387,
120.10, 23.30,   6.7500,   8.2357,   8.2196,   8.4643,   9.0161,   8.0828,   8.3603,   8.3103,   8.2655,   8.2833,   8.4389,   8.3630,   8.8407,   8.0828,   8.1000,   8.7224,   9.2603,   8.1582,   8.2586,   8.1894,   8.4035,   8.1848,   8.5318,   8.1871,   9.0677,
120.10, 23.35,   6.7000,   7.8839,   7.9339,   8.1982,   8.6679,   7.7603,   8.1103,   8.0155,   8.0241,   7.9130,   8.2056,   8.0648,   8.5833,   7.7603,   7.8034,   8.4224,   8.9828,   7.8141,   7.9868,   7.8384,   8.1141,   7.8364,   8.2189,   7.7823,   8.7742,
120.10, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.55,   5.8000,   7.0679,   7.2839,   7.3696,   7.7786,   6.9776,   7.3207,   7.2103,   7.2966,   7.0944,   7.4296,   7.3148,   7.7204,   6.9776,   7.1345,   7.6552,   8.1086,   7.0227,   7.2364,   7.0318,   7.3581,   7.0538,   7.4970,   7.0129,   8.0210,
120.10, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
120.10, 23.65,   5.8000,   6.4536,   6.8911,   6.8321,   7.3089,   6.3931,   6.8759,   6.7517,   6.8879,   6.4741,   6.9537,   6.8741,   7.3093,   6.3931,   6.7793,   7.1897,   7.6448,   6.4268,   6.7495,   6.4359,   6.9045,   6.4652,   7.0932,   6.4677,   7.6242,
120.15, 22.90,   7.6000,   8.1839,   8.2375,   8.4661,   8.8768,   8.0517,   8.3276,   8.3241,   8.4017,   8.2000,   8.4296,   8.3037,   8.8444,   8.0517,   8.1569,   8.6155,   9.2534,   8.1127,   8.1923,   8.1318,   8.3798,   8.1068,   8.3902,   8.0355,   8.9887,
120.15, 22.95,   7.8000,   8.4161,   8.5679,   8.7571,   9.2357,   8.2672,   8.6190,   8.6397,   8.6690,   8.4259,   8.7370,   8.6463,   9.1389,   8.2672,   8.4793,   8.9672,   9.5966,   8.3323,   8.4786,   8.3525,   8.7005,   8.3136,   8.7235,   8.2290,   9.3516,
